Date,Deaths,Confirmed,I,S,Cured,R,Day
3/18/20,0,1,1,1792146,0,0,0
3/19/20,0,2,2,1792145,0,0,1
3/20/20,0,8,8,1792139,0,0,2
3/21/20,0,12,12,1792135,0,0,3
3/22/20,0,16,16,1792131,0,0,4
3/23/20,0,16,16,1792131,0,0,5
3/24/20,0,22,22,1792125,0,0,6
3/25/20,0,39,39,1792108,0,0,7
3/26/20,0,52,52,1792095,0,0,8
3/27/20,0,76,76,1792071,0,0,9
3/28/20,0,96,96,1792051,0,0,10
3/29/20,0,113,113,1792034,0,0,11
3/30/20,1,145,125,1792002,19,20,12
3/31/20,1,162,142,1791985,19,20,13
01-04-2020,1,191,171,1791956,19,20,14
02-04-2020,1,216,196,1791931,19,20,15
03-04-2020,2,237,197,1791910,38,40,16
04-04-2020,2,282,242,1791865,38,40,17
05-04-2020,3,324,263,1791823,58,61,18
06-04-2020,4,345,264,1791802,77,81,19
07-04-2020,4,412,331,1791735,77,81,20
08-04-2020,4,462,381,1791685,77,81,21
09-04-2020,4,514,433,1791633,77,81,22
10-04-2020,4,574,493,1791573,77,81,23
11-04-2020,4,577,496,1791570,77,81,24
12-04-2020,4,593,512,1791554,77,81,25
4/13/20,6,611,490,1791536,115,121,26
4/14/20,6,640,519,1791507,115,121,27
4/15/20,6,702,581,1791445,115,121,28
4/16/20,6,728,607,1791419,115,121,29
4/17/20,7,775,634,1791372,134,141,30
4/18/20,7,785,644,1791362,134,141,31
4/19/20,7,890,749,1791257,134,141,32
4/20/20,7,902,761,1791245,134,141,33
4/21/20,7,908,767,1791239,134,141,34
4/22/20,7,939,798,1791208,134,141,35
4/23/20,31,981,355,1791166,595,626,36
4/24/20,32,1010,364,1791137,614,646,37
4/25/20,32,1010,364,1791137,614,646,38
4/26/20,34,1055,369,1791092,652,686,39
4/27/20,34,1063,377,1791084,652,686,40
4/28/20,38,1095,328,1791052,729,767,41
4/29/20,38,1110,343,1791037,729,767,42
4/30/20,41,1125,298,1791022,786,827,43
01-05-2020,46,1152,224,1790995,882,928,44
02-05-2020,48,1185,216,1790962,921,969,45
03-05-2020,48,1195,226,1790952,921,969,46
04-05-2020,48,1224,255,1790923,921,969,47
05-05-2020,48,1246,277,1790901,921,969,48
06-05-2020,50,1242,233,1790905,959,1009,49
07-05-2020,51,1287,258,1790860,978,1029,50
08-05-2020,52,1323,274,1790824,997,1049,51
09-05-2020,52,1323,274,1790824,997,1049,52
10-05-2020,54,1360,270,1790787,1036,1090,53
11-05-2020,54,1366,276,1790781,1036,1090,54
12-05-2020,58,1378,208,1790769,1112,1170,55
5/13/20,58,1398,228,1790749,1112,1170,56
5/14/20,60,1427,216,1790720,1151,1211,57
5/15/20,64,1447,156,1790700,1227,1291,58
5/16/20,64,1470,179,1790677,1227,1291,59
5/17/20,67,1492,140,1790655,1285,1352,60
5/18/20,68,1502,130,1790645,1304,1372,61
5/19/20,68,1502,130,1790645,1304,1372,62
5/20/20,69,1567,175,1790580,1323,1392,63
5/21/20,70,1593,181,1790554,1342,1412,64
5/22/20,72,1668,215,1790479,1381,1453,65
5/23/20,72,1668,215,1790479,1381,1453,66
5/24/20,72,1759,306,1790388,1381,1453,67
5/25/20,72,1774,321,1790373,1381,1453,68
5/26/20,72,1774,321,1790373,1381,1453,69
5/27/20,74,1899,406,1790248,1419,1493,70
5/28/20,74,1934,441,1790213,1419,1493,71
5/29/20,74,1951,458,1790196,1419,1493,72
5/30/20,75,1989,476,1790158,1438,1513,73
5/31/20,75,2010,497,1790137,1438,1513,74
01-06-2020,76,2028,494,1790119,1458,1534,75
02-06-2020,78,2056,482,1790091,1496,1574,76
03-06-2020,78,2077,503,1790070,1496,1574,77
04-06-2020,79,2102,508,1790045,1515,1594,78
05-06-2020,84,2119,424,1790028,1611,1695,79
06-06-2020,84,2136,441,1790011,1611,1695,80
07-06-2020,84,2144,449,1790003,1611,1695,81
08-06-2020,84,2161,466,1789986,1611,1695,82
09-06-2020,84,2169,474,1789978,1611,1695,83
10-06-2020,85,2194,479,1789953,1630,1715,84
11-06-2020,86,2217,482,1789930,1649,1735,85
12-06-2020,88,2249,473,1789898,1688,1776,86
6/13/20,88,2274,498,1789873,1688,1776,87
6/14/20,88,2290,514,1789857,1688,1776,88
6/15/20,88,2321,545,1789826,1688,1776,89
6/16/20,88,2340,564,1789807,1688,1776,90
6/17/20,88,2376,600,1789771,1688,1776,91
6/18/20,88,2418,642,1789729,1688,1776,92
